ticker,1day_lag_close,1day_lag_high,1day_lag_low,1day_lag_open,1day_lag_volume,2day_lag_close,2day_lag_high,2day_lag_low,2day_lag_open,2day_lag_volume,3day_lag_close,3day_lag_high,3day_lag_low,3day_lag_open,3day_lag_volume,4day_lag_close,4day_lag_high,4day_lag_low,4day_lag_open,4day_lag_volume,5day_lag_close,5day_lag_high,5day_lag_low,5day_lag_open,5day_lag_volume
ACIU,7.67,7.75,7.4775,7.65,258393.0,7.71,8.1,7.63,8.0,279633.0,7.98,8.03,7.69,7.8,227100.0,7.78,8.07,7.59,7.78,222317.0,7.89,7.99,7.479,7.79,331149.0
ACIW,37.2,39.23,36.98,38.43,519818.0,38.79,39.89,38.75,39.21,419483.0,39.34,39.62,38.665,38.98,1543391.0,39.23,40.05,39.09,39.12,506766.0,39.6,39.71,38.68,39.71,651817.0
ACKIT,9.89,9.98,9.89,9.92,15153.0,9.91,9.97,9.9,9.91,6578.0,9.94,9.95,9.9105,9.95,26200.0,9.93,9.99,9.93,9.99,4101.0,9.99,9.99,9.91,9.91,9127.0
ACKIU,10.15,10.32,10.14,10.16,56017.0,10.2,10.34,10.2,10.34,3863.0,10.19,10.2,10.15,10.19,16900.0,10.22,10.26,10.22,10.25,14718.0,10.23,10.25,10.17,10.2,19440.0
ACKIW,0.6202,0.66,0.6034,0.66,45710.0,0.66,0.75,0.64,0.64,33249.0,0.6599,0.69,0.623359,0.69,58913.0,0.6702,0.79,0.6702,0.79,19706.0,0.7,0.79,0.65,0.79,14460.0
ACLS,36.19,38.96,35.88,38.96,475213.0,39.06,39.96,38.44,39.24,271687.0,38.47,39.48,37.75,39.22,609500.0,38.67,42.6,38.3501,42.57,476388.0,42.82,42.9,40.16,41.84,406432.0
ACMR,90.5,95.48,89.565,92.77,282849.0,93.49,95.94,91.55,92.96,194510.0,90.73,94.74,86.46,94.74,391600.0,89.54,94.73,89.41,94.1,345331.0,95.52,96.85,88.08,91.21,202543.0
ACNB,29.0,29.7728,28.92,29.45,8955.0,29.8,30.25,29.57,30.25,11598.0,31.34,31.34,28.93,29.37,56100.0,29.72,31.08,29.6,30.07,14243.0,29.78,31.1303,29.77,31.1303,11977.0
ACOR,5.33,5.75,5.2001,5.75,239681.0,5.79,5.95,5.75,5.75,117008.0,5.74,5.95,5.51,5.63,225500.0,5.48,6.08,5.4107,5.96,263211.0,5.96,6.04,5.63,5.8,144550.0
ACQRU,10.08,10.15,10.05,10.08,305108.0,10.09,10.73,10.09,10.73,659417.0,10.08,10.25,10.07,10.2,289000.0,9.98,10.23,9.97,10.21,645903.0,10.14,10.21,10.1,10.21,12443.0
ACRS,25.33,27.49,25.25,27.47,738924.0,27.73,27.935,26.05,27.935,618024.0,26.79,27.32,24.575,24.91,1329200.0,24.94,25.2,23.74,24.0,498194.0,23.92,24.3,22.6105,23.28,481248.0
