date,1. open,2. high,3. low,4. close,5. volume
2021-03-26 09:00:00,639.6506,645.47,632.0,637.5,215014.0
2021-03-26 08:00:00,644.86,646.12,632.0,636.0,138748.0
2021-03-26 07:00:00,649.02,649.5,644.4,646.13,8757.0
2021-03-26 06:00:00,645.67,651.23,645.67,650.0,16677.0
2021-03-26 05:00:00,642.05,650.0,642.05,645.4,26970.0
2021-03-25 20:00:00,640.49,643.45,640.01,642.6,41091.0
2021-03-25 19:00:00,641.98,641.98,639.53,640.0,30639.0
2021-03-25 18:00:00,639.18,642.83,639.1778,642.0001,56159.0
2021-03-25 17:00:00,640.39,641.0,637.2,639.59,230523.0
2021-03-25 16:00:00,638.14,645.5,634.96,640.09,4338136.0
2021-03-25 15:00:00,629.3,639.49,624.28,638.3,4055614.0
2021-03-25 14:00:00,634.05,638.5,628.86,629.33,3602558.0
2021-03-25 13:00:00,632.17,644.4713,631.51,633.95,4820270.0
2021-03-25 12:00:00,622.57,632.5,615.5,631.995,5448978.0
2021-03-25 11:00:00,627.83,638.699,617.8,622.6256,8097707.0
2021-03-25 10:00:00,611.02,630.85,607.06,628.15,6894958.0
2021-03-25 09:00:00,615.9996,637.0,604.44,611.29,736926.0
2021-03-25 08:00:00,639.0,639.0,612.33,615.0,335206.0
2021-03-25 07:00:00,640.0,640.19,637.5,637.75,9081.0
2021-03-25 06:00:00,640.29,640.29,636.8,639.0,10693.0
2021-03-25 05:00:00,634.1,643.0,634.1,640.3,40891.0
2021-03-24 20:00:00,630.2,634.0,630.01,633.9,62507.0
2021-03-24 19:00:00,631.45,631.99,630.0,630.27,52849.0
2021-03-24 18:00:00,634.1,634.15,630.0,630.4,68899.0
2021-03-24 17:00:00,630.27,634.1,630.0,634.1,827763.0
2021-03-24 16:00:00,637.28,639.35,630.11,630.12,4827374.0
2021-03-24 15:00:00,649.37,650.82,636.38,637.45,3914188.0
2021-03-24 14:00:00,652.65,652.6799,641.91,649.57,4851305.0
2021-03-24 13:00:00,657.72,660.22,651.36,652.91,3069583.0
2021-03-24 12:00:00,659.52,666.21,655.84,657.8883,4849946.0
2021-03-24 11:00:00,655.7,661.49,651.0,659.301,5975373.0
2021-03-24 10:00:00,667.7,669.08,652.4001,656.125,4509539.0
2021-03-24 09:00:00,668.6216,673.0,662.16,667.7,140780.0
2021-03-24 08:00:00,673.11,673.78,666.0,668.53,123395.0
